                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 0.7134,                0.36204,                 1.0213,                0.76599,                0.29926,                 1.0248,                 0.9782,                0.99127,                0.99362,                0.87205,                0.57953,                0.25261,                 1.0085,                0.58635,                0.17964,                 1.0149,               0.005248,               0.005248,               0.005248
                     99,                0.72026,                0.36367,                 1.0196,                0.77847,                0.29681,                 1.0241,                0.98638,                0.99057,                0.99344,                0.86739,                0.57828,                0.25961,                 1.0112,                0.58397,                0.17898,                  1.015,              0.0051985,              0.0051985,              0.0051985
                    100,                0.71347,                0.36587,                 1.0213,                0.76788,                0.29719,                 1.0243,                0.98583,                0.98134,                0.99339,                0.86914,                0.58405,                0.25196,                 1.0103,                0.59546,                0.18602,                 1.0168,               0.005149,               0.005149,               0.005149
                    101,                0.72142,                0.37102,                 1.0277,                0.77751,                0.30578,                 1.0317,                0.98018,                0.98676,                0.99332,                 0.8722,                 0.5795,                0.25256,                 1.0087,                0.58551,                0.18868,                 1.0141,              0.0050995,              0.0050995,              0.0050995
                    102,                0.70824,                0.35944,                 1.0144,                0.76548,                0.29545,                 1.0186,                0.98144,                0.99572,                0.99284,                0.86758,                0.58769,                0.25338,                 1.0101,                0.59154,                0.18339,                 1.0143,                0.00505,                0.00505,                0.00505
                    103,                0.71037,                0.35895,                 1.0146,                0.76341,                0.28768,                 1.0181,                0.98535,                0.99323,                0.99349,                0.86774,                0.57962,                0.25095,                 1.0087,                 0.5842,                0.17822,                 1.0135,              0.0050005,              0.0050005,              0.0050005
                    104,                0.71114,                0.36415,                 1.0206,                0.76823,                0.30288,                 1.0252,                0.98566,                 0.9897,                0.99347,                0.87133,                0.57459,                0.24746,                 1.0071,                0.57959,                0.18067,                 1.0114,               0.004951,               0.004951,               0.004951
                    105,                0.71625,                0.35714,                 1.0212,                0.76986,                 0.2915,                 1.0272,                0.98191,                0.99592,                0.99358,                0.86743,                0.58708,                0.25124,                 1.0117,                0.59271,                0.17869,                  1.015,              0.0049015,              0.0049015,              0.0049015
                    106,                0.70185,                0.35585,                 1.0163,                0.75382,                0.28776,                 1.0178,                0.98512,                0.99529,                0.99375,                0.87282,                0.57606,                0.24539,                 1.0076,                 0.5816,                0.17663,                 1.0112,               0.004852,               0.004852,               0.004852
                    107,                0.70365,                0.35766,                 1.0133,                0.75412,                0.29206,                 1.0172,                0.98635,                0.99247,                0.99334,                0.87325,                0.58143,                0.24763,                 1.0093,                0.58955,                0.17931,                 1.0168,              0.0048025,              0.0048025,              0.0048025
